---,SK_Mesh,Material
SK_APOC_OUTL_01_24ABAC_HU01,/Game/Sidekicks/Outfits/ApocalypseOutlaws/SK_APOC_OUTL_01_24ABAC_HU01.SK_APOC_OUTL_01_24ABAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_OUTL_02_24ABAC_HU01,/Game/Sidekicks/Outfits/ApocalypseOutlaws/SK_APOC_OUTL_02_24ABAC_HU01.SK_APOC_OUTL_02_24ABAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_OUTL_03_24ABAC_HU01,/Game/Sidekicks/Outfits/ApocalypseOutlaws/SK_APOC_OUTL_03_24ABAC_HU01.SK_APOC_OUTL_03_24ABAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_OUTL_04_24ABAC_HU01,/Game/Sidekicks/Outfits/ApocalypseOutlaws/SK_APOC_OUTL_04_24ABAC_HU01.SK_APOC_OUTL_04_24ABAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_OUTL_05_24ABAC_HU01,/Game/Sidekicks/Outfits/ApocalypseOutlaws/SK_APOC_OUTL_05_24ABAC_HU01.SK_APOC_OUTL_05_24ABAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_OUTL_06_24ABAC_HU01,/Game/Sidekicks/Outfits/ApocalypseOutlaws/SK_APOC_OUTL_06_24ABAC_HU01.SK_APOC_OUTL_06_24ABAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_OUTL_07_24ABAC_HU01,/Game/Sidekicks/Outfits/ApocalypseOutlaws/SK_APOC_OUTL_07_24ABAC_HU01.SK_APOC_OUTL_07_24ABAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_OUTL_08_24ABAC_HU01,/Game/Sidekicks/Outfits/ApocalypseOutlaws/SK_APOC_OUTL_08_24ABAC_HU01.SK_APOC_OUTL_08_24ABAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_OUTL_09_24ABAC_HU01,/Game/Sidekicks/Outfits/ApocalypseOutlaws/SK_APOC_OUTL_09_24ABAC_HU01.SK_APOC_OUTL_09_24ABAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_OUTL_10_24ABAC_HU01,/Game/Sidekicks/Outfits/ApocalypseOutlaws/SK_APOC_OUTL_10_24ABAC_HU01.SK_APOC_OUTL_10_24ABAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
