---,SK_Mesh,Material
SK_APOC_SURV_01_24ABAC_HU01,/Game/Sidekicks/Outfits/ApocalypseSurvivors/SK_APOC_SURV_01_24ABAC_HU01.SK_APOC_SURV_01_24ABAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_SURV_02_24ABAC_HU01,/Game/Sidekicks/Outfits/ApocalypseSurvivors/SK_APOC_SURV_02_24ABAC_HU01.SK_APOC_SURV_02_24ABAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_SURV_03_24ABAC_HU01,/Game/Sidekicks/Outfits/ApocalypseSurvivors/SK_APOC_SURV_03_24ABAC_HU01.SK_APOC_SURV_03_24ABAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_SURV_04_24ABAC_HU01,/Game/Sidekicks/Outfits/ApocalypseSurvivors/SK_APOC_SURV_04_24ABAC_HU01.SK_APOC_SURV_04_24ABAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_SURV_05_24ABAC_HU01,/Game/Sidekicks/Outfits/ApocalypseSurvivors/SK_APOC_SURV_05_24ABAC_HU01.SK_APOC_SURV_05_24ABAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_SURV_06_24ABAC_HU01,/Game/Sidekicks/Outfits/ApocalypseSurvivors/SK_APOC_SURV_06_24ABAC_HU01.SK_APOC_SURV_06_24ABAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_SURV_07_24ABAC_HU01,/Game/Sidekicks/Outfits/ApocalypseSurvivors/SK_APOC_SURV_07_24ABAC_HU01.SK_APOC_SURV_07_24ABAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_SURV_08_24ABAC_HU01,/Game/Sidekicks/Outfits/ApocalypseSurvivors/SK_APOC_SURV_08_24ABAC_HU01.SK_APOC_SURV_08_24ABAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_SURV_09_24ABAC_HU01,/Game/Sidekicks/Outfits/ApocalypseSurvivors/SK_APOC_SURV_09_24ABAC_HU01.SK_APOC_SURV_09_24ABAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_SURV_10_24ABAC_HU01,/Game/Sidekicks/Outfits/ApocalypseSurvivors/SK_APOC_SURV_10_24ABAC_HU01.SK_APOC_SURV_10_24ABAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
