---,SK_Mesh,Material
SK_APOC_ZOMB_01_24ABAC_ZB01,/Game/Sidekicks/Outfits/ApocalypseZombies/SK_APOC_ZOMB_01_24ABAC_ZB01.SK_APOC_ZOMB_01_24ABAC_ZB01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_ZOMB_02_24ABAC_ZB01,/Game/Sidekicks/Outfits/ApocalypseZombies/SK_APOC_ZOMB_02_24ABAC_ZB01.SK_APOC_ZOMB_02_24ABAC_ZB01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_ZOMB_03_24ABAC_ZB01,/Game/Sidekicks/Outfits/ApocalypseZombies/SK_APOC_ZOMB_03_24ABAC_ZB01.SK_APOC_ZOMB_03_24ABAC_ZB01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_ZOMB_04_24ABAC_ZB01,/Game/Sidekicks/Outfits/ApocalypseZombies/SK_APOC_ZOMB_04_24ABAC_ZB01.SK_APOC_ZOMB_04_24ABAC_ZB01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_ZOMB_05_24ABAC_ZB01,/Game/Sidekicks/Outfits/ApocalypseZombies/SK_APOC_ZOMB_05_24ABAC_ZB01.SK_APOC_ZOMB_05_24ABAC_ZB01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_ZOMB_06_24ABAC_ZB01,/Game/Sidekicks/Outfits/ApocalypseZombies/SK_APOC_ZOMB_06_24ABAC_ZB01.SK_APOC_ZOMB_06_24ABAC_ZB01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_ZOMB_07_24ABAC_ZB01,/Game/Sidekicks/Outfits/ApocalypseZombies/SK_APOC_ZOMB_07_24ABAC_ZB01.SK_APOC_ZOMB_07_24ABAC_ZB01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_ZOMB_08_24ABAC_ZB01,/Game/Sidekicks/Outfits/ApocalypseZombies/SK_APOC_ZOMB_08_24ABAC_ZB01.SK_APOC_ZOMB_08_24ABAC_ZB01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_ZOMB_09_24ABAC_ZB01,/Game/Sidekicks/Outfits/ApocalypseZombies/SK_APOC_ZOMB_09_24ABAC_ZB01.SK_APOC_ZOMB_09_24ABAC_ZB01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_ZOMB_10_24ABAC_ZB01,/Game/Sidekicks/Outfits/ApocalypseZombies/SK_APOC_ZOMB_10_24ABAC_ZB01.SK_APOC_ZOMB_10_24ABAC_ZB01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_ZOMB_11_24ABAC_ZB01,/Game/Sidekicks/Outfits/ApocalypseZombies/SK_APOC_ZOMB_11_24ABAC_ZB01.SK_APOC_ZOMB_11_24ABAC_ZB01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
