---,SK_Mesh,Material
SK_FANT_KNGT_01_24ABAC_HU01,/Game/Sidekicks/Outfits/FantasyKnights/SK_FANT_KNGT_01_24ABAC_HU01.SK_FANT_KNGT_01_24ABAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_FANT_KNGT_02_24ABAC_HU01,/Game/Sidekicks/Outfits/FantasyKnights/SK_FANT_KNGT_02_24ABAC_HU01.SK_FANT_KNGT_02_24ABAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_FANT_KNGT_03_24ABAC_HU01,/Game/Sidekicks/Outfits/FantasyKnights/SK_FANT_KNGT_03_24ABAC_HU01.SK_FANT_KNGT_03_24ABAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_FANT_KNGT_04_24ABAC_HU01,/Game/Sidekicks/Outfits/FantasyKnights/SK_FANT_KNGT_04_24ABAC_HU01.SK_FANT_KNGT_04_24ABAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_FANT_KNGT_05_24ABAC_HU01,/Game/Sidekicks/Outfits/FantasyKnights/SK_FANT_KNGT_05_24ABAC_HU01.SK_FANT_KNGT_05_24ABAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_FANT_KNGT_06_24ABAC_HU01,/Game/Sidekicks/Outfits/FantasyKnights/SK_FANT_KNGT_06_24ABAC_HU01.SK_FANT_KNGT_06_24ABAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_FANT_KNGT_07_24ABAC_HU01,/Game/Sidekicks/Outfits/FantasyKnights/SK_FANT_KNGT_07_24ABAC_HU01.SK_FANT_KNGT_07_24ABAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_FANT_KNGT_08_24ABAC_HU01,/Game/Sidekicks/Outfits/FantasyKnights/SK_FANT_KNGT_08_24ABAC_HU01.SK_FANT_KNGT_08_24ABAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_FANT_KNGT_09_24ABAC_HU01,/Game/Sidekicks/Outfits/FantasyKnights/SK_FANT_KNGT_09_24ABAC_HU01.SK_FANT_KNGT_09_24ABAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_FANT_KNGT_10_24ABAC_HU01,/Game/Sidekicks/Outfits/FantasyKnights/SK_FANT_KNGT_10_24ABAC_HU01.SK_FANT_KNGT_10_24ABAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_FANT_KNGT_11_24ABAC_HU01,/Game/Sidekicks/Outfits/FantasyKnights/SK_FANT_KNGT_11_24ABAC_HU01.SK_FANT_KNGT_11_24ABAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_FANT_KNGT_12_24ABAC_HU01,/Game/Sidekicks/Outfits/FantasyKnights/SK_FANT_KNGT_12_24ABAC_HU01.SK_FANT_KNGT_12_24ABAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_FANT_KNGT_13_24ABAC_HU01,/Game/Sidekicks/Outfits/FantasyKnights/SK_FANT_KNGT_13_24ABAC_HU01.SK_FANT_KNGT_13_24ABAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_FANT_KNGT_14_24ABAC_HU01,/Game/Sidekicks/Outfits/FantasyKnights/SK_FANT_KNGT_14_24ABAC_HU01.SK_FANT_KNGT_14_24ABAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_FANT_KNGT_15_24ABAC_HU01,/Game/Sidekicks/Outfits/FantasyKnights/SK_FANT_KNGT_15_24ABAC_HU01.SK_FANT_KNGT_15_24ABAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_FANT_KNGT_17_24ABAC_HU01,/Game/Sidekicks/Outfits/Starter/SK_FANT_KNGT_17_24ABAC_HU01.SK_FANT_KNGT_17_24ABAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
