---,SK_Mesh,Material
SK_PIRT_CAPT_01_24ABAC_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_01_24ABAC_HU01.SK_PIRT_CAPT_01_24ABAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_02_24ABAC_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_02_24ABAC_HU01.SK_PIRT_CAPT_02_24ABAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_03_24ABAC_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_03_24ABAC_HU01.SK_PIRT_CAPT_03_24ABAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_04_24ABAC_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_04_24ABAC_HU01.SK_PIRT_CAPT_04_24ABAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_05_24ABAC_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_05_24ABAC_HU01.SK_PIRT_CAPT_05_24ABAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_06_24ABAC_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_06_24ABAC_HU01.SK_PIRT_CAPT_06_24ABAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_07_24ABAC_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_07_24ABAC_HU01.SK_PIRT_CAPT_07_24ABAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_08_24ABAC_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_08_24ABAC_HU01.SK_PIRT_CAPT_08_24ABAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_09_24ABAC_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_09_24ABAC_HU01.SK_PIRT_CAPT_09_24ABAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_10_24ABAC_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_10_24ABAC_HU01.SK_PIRT_CAPT_10_24ABAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
