---,SK_Mesh,Material
SK_VIKG_WARR_01_24ABAC_HU01,/Game/Sidekicks/Outfits/VikingWarriors/SK_VIKG_WARR_01_24ABAC_HU01.SK_VIKG_WARR_01_24ABAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_VIKG_WARR_02_24ABAC_HU01,/Game/Sidekicks/Outfits/VikingWarriors/SK_VIKG_WARR_02_24ABAC_HU01.SK_VIKG_WARR_02_24ABAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_VIKG_WARR_03_24ABAC_HU01,/Game/Sidekicks/Outfits/VikingWarriors/SK_VIKG_WARR_03_24ABAC_HU01.SK_VIKG_WARR_03_24ABAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_VIKG_WARR_04_24ABAC_HU01,/Game/Sidekicks/Outfits/VikingWarriors/SK_VIKG_WARR_04_24ABAC_HU01.SK_VIKG_WARR_04_24ABAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_VIKG_WARR_05_24ABAC_HU01,/Game/Sidekicks/Outfits/VikingWarriors/SK_VIKG_WARR_05_24ABAC_HU01.SK_VIKG_WARR_05_24ABAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_VIKG_WARR_06_24ABAC_HU01,/Game/Sidekicks/Outfits/VikingWarriors/SK_VIKG_WARR_06_24ABAC_HU01.SK_VIKG_WARR_06_24ABAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_VIKG_WARR_07_24ABAC_HU01,/Game/Sidekicks/Outfits/VikingWarriors/SK_VIKG_WARR_07_24ABAC_HU01.SK_VIKG_WARR_07_24ABAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_VIKG_WARR_08_24ABAC_HU01,/Game/Sidekicks/Outfits/VikingWarriors/SK_VIKG_WARR_08_24ABAC_HU01.SK_VIKG_WARR_08_24ABAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_VIKG_WARR_09_24ABAC_HU01,/Game/Sidekicks/Outfits/VikingWarriors/SK_VIKG_WARR_09_24ABAC_HU01.SK_VIKG_WARR_09_24ABAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_VIKG_WARR_10_24ABAC_HU01,/Game/Sidekicks/Outfits/VikingWarriors/SK_VIKG_WARR_10_24ABAC_HU01.SK_VIKG_WARR_10_24ABAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
