---,SK_Mesh,Material
SK_GOBL_FIGT_01_31AEBL_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_01_31AEBL_GO01.SK_GOBL_FIGT_01_31AEBL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_02_31AEBL_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_02_31AEBL_GO01.SK_GOBL_FIGT_02_31AEBL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_03_31AEBL_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_03_31AEBL_GO01.SK_GOBL_FIGT_03_31AEBL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_04_31AEBL_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_04_31AEBL_GO01.SK_GOBL_FIGT_04_31AEBL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_05_31AEBL_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_05_31AEBL_GO01.SK_GOBL_FIGT_05_31AEBL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_06_31AEBL_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_06_31AEBL_GO01.SK_GOBL_FIGT_06_31AEBL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_07_31AEBL_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_07_31AEBL_GO01.SK_GOBL_FIGT_07_31AEBL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_08_31AEBL_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_08_31AEBL_GO01.SK_GOBL_FIGT_08_31AEBL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_09_31AEBL_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_09_31AEBL_GO01.SK_GOBL_FIGT_09_31AEBL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_10_31AEBL_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_10_31AEBL_GO01.SK_GOBL_FIGT_10_31AEBL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
