---,SK_Mesh,Material
SK_SCFI_SOLD_01_32AEBR_HU01,/Game/Sidekicks/Outfits/ScifiSoldiers/SK_SCFI_SOLD_01_32AEBR_HU01.SK_SCFI_SOLD_01_32AEBR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_SCFI_SOLD_02_32AEBR_HU01,/Game/Sidekicks/Outfits/ScifiSoldiers/SK_SCFI_SOLD_02_32AEBR_HU01.SK_SCFI_SOLD_02_32AEBR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_SCFI_SOLD_03_32AEBR_HU01,/Game/Sidekicks/Outfits/ScifiSoldiers/SK_SCFI_SOLD_03_32AEBR_HU01.SK_SCFI_SOLD_03_32AEBR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_SCFI_SOLD_04_32AEBR_HU01,/Game/Sidekicks/Outfits/ScifiSoldiers/SK_SCFI_SOLD_04_32AEBR_HU01.SK_SCFI_SOLD_04_32AEBR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_SCFI_SOLD_05_32AEBR_HU01,/Game/Sidekicks/Outfits/ScifiSoldiers/SK_SCFI_SOLD_05_32AEBR_HU01.SK_SCFI_SOLD_05_32AEBR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_SCFI_SOLD_06_32AEBR_HU01,/Game/Sidekicks/Outfits/ScifiSoldiers/SK_SCFI_SOLD_06_32AEBR_HU01.SK_SCFI_SOLD_06_32AEBR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_SCFI_SOLD_07_32AEBR_HU01,/Game/Sidekicks/Outfits/ScifiSoldiers/SK_SCFI_SOLD_07_32AEBR_HU01.SK_SCFI_SOLD_07_32AEBR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_SCFI_SOLD_08_32AEBR_HU01,/Game/Sidekicks/Outfits/ScifiSoldiers/SK_SCFI_SOLD_08_32AEBR_HU01.SK_SCFI_SOLD_08_32AEBR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_SCFI_SOLD_09_32AEBR_HU01,/Game/Sidekicks/Outfits/ScifiSoldiers/SK_SCFI_SOLD_09_32AEBR_HU01.SK_SCFI_SOLD_09_32AEBR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_SCFI_SOLD_10_32AEBR_HU01,/Game/Sidekicks/Outfits/ScifiSoldiers/SK_SCFI_SOLD_10_32AEBR_HU01.SK_SCFI_SOLD_10_32AEBR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
