---,SK_Mesh,Material
SK_VIKG_WARR_01_23AFAC_HU01,/Game/Sidekicks/Outfits/VikingWarriors/SK_VIKG_WARR_01_23AFAC_HU01.SK_VIKG_WARR_01_23AFAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_VIKG_WARR_02_23AFAC_HU01,/Game/Sidekicks/Outfits/VikingWarriors/SK_VIKG_WARR_02_23AFAC_HU01.SK_VIKG_WARR_02_23AFAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_VIKG_WARR_03_23AFAC_HU01,/Game/Sidekicks/Outfits/VikingWarriors/SK_VIKG_WARR_03_23AFAC_HU01.SK_VIKG_WARR_03_23AFAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_VIKG_WARR_04_23AFAC_HU01,/Game/Sidekicks/Outfits/VikingWarriors/SK_VIKG_WARR_04_23AFAC_HU01.SK_VIKG_WARR_04_23AFAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_VIKG_WARR_05_23AFAC_HU01,/Game/Sidekicks/Outfits/VikingWarriors/SK_VIKG_WARR_05_23AFAC_HU01.SK_VIKG_WARR_05_23AFAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_VIKG_WARR_06_23AFAC_HU01,/Game/Sidekicks/Outfits/VikingWarriors/SK_VIKG_WARR_06_23AFAC_HU01.SK_VIKG_WARR_06_23AFAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_VIKG_WARR_07_23AFAC_HU01,/Game/Sidekicks/Outfits/VikingWarriors/SK_VIKG_WARR_07_23AFAC_HU01.SK_VIKG_WARR_07_23AFAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_VIKG_WARR_08_23AFAC_HU01,/Game/Sidekicks/Outfits/VikingWarriors/SK_VIKG_WARR_08_23AFAC_HU01.SK_VIKG_WARR_08_23AFAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_VIKG_WARR_09_23AFAC_HU01,/Game/Sidekicks/Outfits/VikingWarriors/SK_VIKG_WARR_09_23AFAC_HU01.SK_VIKG_WARR_09_23AFAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_VIKG_WARR_10_23AFAC_HU01,/Game/Sidekicks/Outfits/VikingWarriors/SK_VIKG_WARR_10_23AFAC_HU01.SK_VIKG_WARR_10_23AFAC_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
