---,SK_Mesh,Material
SK_FANT_KNGT_01_22AHED_HU01,/Game/Sidekicks/Outfits/FantasyKnights/SK_FANT_KNGT_01_22AHED_HU01.SK_FANT_KNGT_01_22AHED_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_FANT_KNGT_02_22AHED_HU01,/Game/Sidekicks/Outfits/FantasyKnights/SK_FANT_KNGT_02_22AHED_HU01.SK_FANT_KNGT_02_22AHED_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_FANT_KNGT_03_22AHED_HU01,/Game/Sidekicks/Outfits/FantasyKnights/SK_FANT_KNGT_03_22AHED_HU01.SK_FANT_KNGT_03_22AHED_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_FANT_KNGT_04_22AHED_HU01,/Game/Sidekicks/Outfits/FantasyKnights/SK_FANT_KNGT_04_22AHED_HU01.SK_FANT_KNGT_04_22AHED_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_FANT_KNGT_05_22AHED_HU01,/Game/Sidekicks/Outfits/FantasyKnights/SK_FANT_KNGT_05_22AHED_HU01.SK_FANT_KNGT_05_22AHED_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_FANT_KNGT_06_22AHED_HU01,/Game/Sidekicks/Outfits/FantasyKnights/SK_FANT_KNGT_06_22AHED_HU01.SK_FANT_KNGT_06_22AHED_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_FANT_KNGT_07_22AHED_HU01,/Game/Sidekicks/Outfits/FantasyKnights/SK_FANT_KNGT_07_22AHED_HU01.SK_FANT_KNGT_07_22AHED_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_FANT_KNGT_08_22AHED_HU01,/Game/Sidekicks/Outfits/FantasyKnights/SK_FANT_KNGT_08_22AHED_HU01.SK_FANT_KNGT_08_22AHED_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_FANT_KNGT_09_22AHED_HU01,/Game/Sidekicks/Outfits/FantasyKnights/SK_FANT_KNGT_09_22AHED_HU01.SK_FANT_KNGT_09_22AHED_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_FANT_KNGT_10_22AHED_HU01,/Game/Sidekicks/Outfits/FantasyKnights/SK_FANT_KNGT_10_22AHED_HU01.SK_FANT_KNGT_10_22AHED_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_FANT_KNGT_11_22AHED_HU01,/Game/Sidekicks/Outfits/FantasyKnights/SK_FANT_KNGT_11_22AHED_HU01.SK_FANT_KNGT_11_22AHED_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_FANT_KNGT_12_22AHED_HU01,/Game/Sidekicks/Outfits/FantasyKnights/SK_FANT_KNGT_12_22AHED_HU01.SK_FANT_KNGT_12_22AHED_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_FANT_KNGT_13_22AHED_HU01,/Game/Sidekicks/Outfits/FantasyKnights/SK_FANT_KNGT_13_22AHED_HU01.SK_FANT_KNGT_13_22AHED_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_FANT_KNGT_17_22AHED_HU01,/Game/Sidekicks/Outfits/Starter/SK_FANT_KNGT_17_22AHED_HU01.SK_FANT_KNGT_17_22AHED_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
