---,SK_Mesh,Material
SK_GOBL_FIGT_01_22AHED_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_01_22AHED_GO01.SK_GOBL_FIGT_01_22AHED_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_02_22AHED_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_02_22AHED_GO01.SK_GOBL_FIGT_02_22AHED_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_03_22AHED_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_03_22AHED_GO01.SK_GOBL_FIGT_03_22AHED_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_04_22AHED_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_04_22AHED_GO01.SK_GOBL_FIGT_04_22AHED_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_05_22AHED_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_05_22AHED_GO01.SK_GOBL_FIGT_05_22AHED_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_06_22AHED_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_06_22AHED_GO01.SK_GOBL_FIGT_06_22AHED_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_07_22AHED_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_07_22AHED_GO01.SK_GOBL_FIGT_07_22AHED_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_08_22AHED_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_08_22AHED_GO01.SK_GOBL_FIGT_08_22AHED_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_09_22AHED_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_09_22AHED_GO01.SK_GOBL_FIGT_09_22AHED_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_10_22AHED_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_10_22AHED_GO01.SK_GOBL_FIGT_10_22AHED_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
