---,SK_Mesh,Material
SK_PIRT_CAPT_01_22AHED_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_01_22AHED_HU01.SK_PIRT_CAPT_01_22AHED_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_02_22AHED_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_02_22AHED_HU01.SK_PIRT_CAPT_02_22AHED_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_03_22AHED_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_03_22AHED_HU01.SK_PIRT_CAPT_03_22AHED_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_04_22AHED_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_04_22AHED_HU01.SK_PIRT_CAPT_04_22AHED_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_05_22AHED_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_05_22AHED_HU01.SK_PIRT_CAPT_05_22AHED_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_06_22AHED_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_06_22AHED_HU01.SK_PIRT_CAPT_06_22AHED_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_07_22AHED_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_07_22AHED_HU01.SK_PIRT_CAPT_07_22AHED_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_08_22AHED_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_08_22AHED_HU01.SK_PIRT_CAPT_08_22AHED_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_09_22AHED_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_09_22AHED_HU01.SK_PIRT_CAPT_09_22AHED_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_10_22AHED_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_10_22AHED_HU01.SK_PIRT_CAPT_10_22AHED_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
