---,SK_Mesh,Material
SK_VIKG_WARR_01_22AHED_HU01,/Game/Sidekicks/Outfits/VikingWarriors/SK_VIKG_WARR_01_22AHED_HU01.SK_VIKG_WARR_01_22AHED_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_VIKG_WARR_02_22AHED_HU01,/Game/Sidekicks/Outfits/VikingWarriors/SK_VIKG_WARR_02_22AHED_HU01.SK_VIKG_WARR_02_22AHED_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_VIKG_WARR_03_22AHED_HU01,/Game/Sidekicks/Outfits/VikingWarriors/SK_VIKG_WARR_03_22AHED_HU01.SK_VIKG_WARR_03_22AHED_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_VIKG_WARR_04_22AHED_HU01,/Game/Sidekicks/Outfits/VikingWarriors/SK_VIKG_WARR_04_22AHED_HU01.SK_VIKG_WARR_04_22AHED_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_VIKG_WARR_05_22AHED_HU01,/Game/Sidekicks/Outfits/VikingWarriors/SK_VIKG_WARR_05_22AHED_HU01.SK_VIKG_WARR_05_22AHED_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_VIKG_WARR_06_22AHED_HU01,/Game/Sidekicks/Outfits/VikingWarriors/SK_VIKG_WARR_06_22AHED_HU01.SK_VIKG_WARR_06_22AHED_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_VIKG_WARR_07_22AHED_HU01,/Game/Sidekicks/Outfits/VikingWarriors/SK_VIKG_WARR_07_22AHED_HU01.SK_VIKG_WARR_07_22AHED_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_VIKG_WARR_08_22AHED_HU01,/Game/Sidekicks/Outfits/VikingWarriors/SK_VIKG_WARR_08_22AHED_HU01.SK_VIKG_WARR_08_22AHED_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_VIKG_WARR_09_22AHED_HU01,/Game/Sidekicks/Outfits/VikingWarriors/SK_VIKG_WARR_09_22AHED_HU01.SK_VIKG_WARR_09_22AHED_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_VIKG_WARR_10_22AHED_HU01,/Game/Sidekicks/Outfits/VikingWarriors/SK_VIKG_WARR_10_22AHED_HU01.SK_VIKG_WARR_10_22AHED_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
