---,SK_Mesh,Material
SK_APOC_OUTL_01_26AHPB_HU01,/Game/Sidekicks/Outfits/ApocalypseOutlaws/SK_APOC_OUTL_01_26AHPB_HU01.SK_APOC_OUTL_01_26AHPB_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_OUTL_02_26AHPB_HU01,/Game/Sidekicks/Outfits/ApocalypseOutlaws/SK_APOC_OUTL_02_26AHPB_HU01.SK_APOC_OUTL_02_26AHPB_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_OUTL_03_26AHPB_HU01,/Game/Sidekicks/Outfits/ApocalypseOutlaws/SK_APOC_OUTL_03_26AHPB_HU01.SK_APOC_OUTL_03_26AHPB_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_OUTL_04_26AHPB_HU01,/Game/Sidekicks/Outfits/ApocalypseOutlaws/SK_APOC_OUTL_04_26AHPB_HU01.SK_APOC_OUTL_04_26AHPB_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_OUTL_05_26AHPB_HU01,/Game/Sidekicks/Outfits/ApocalypseOutlaws/SK_APOC_OUTL_05_26AHPB_HU01.SK_APOC_OUTL_05_26AHPB_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_OUTL_06_26AHPB_HU01,/Game/Sidekicks/Outfits/ApocalypseOutlaws/SK_APOC_OUTL_06_26AHPB_HU01.SK_APOC_OUTL_06_26AHPB_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_OUTL_07_26AHPB_HU01,/Game/Sidekicks/Outfits/ApocalypseOutlaws/SK_APOC_OUTL_07_26AHPB_HU01.SK_APOC_OUTL_07_26AHPB_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_OUTL_08_26AHPB_HU01,/Game/Sidekicks/Outfits/ApocalypseOutlaws/SK_APOC_OUTL_08_26AHPB_HU01.SK_APOC_OUTL_08_26AHPB_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_OUTL_09_26AHPB_HU01,/Game/Sidekicks/Outfits/ApocalypseOutlaws/SK_APOC_OUTL_09_26AHPB_HU01.SK_APOC_OUTL_09_26AHPB_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_OUTL_10_26AHPB_HU01,/Game/Sidekicks/Outfits/ApocalypseOutlaws/SK_APOC_OUTL_10_26AHPB_HU01.SK_APOC_OUTL_10_26AHPB_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
