---,SK_Mesh,Material
SK_GOBL_FIGT_01_26AHPB_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_01_26AHPB_GO01.SK_GOBL_FIGT_01_26AHPB_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_02_26AHPB_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_02_26AHPB_GO01.SK_GOBL_FIGT_02_26AHPB_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_03_26AHPB_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_03_26AHPB_GO01.SK_GOBL_FIGT_03_26AHPB_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_04_26AHPB_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_04_26AHPB_GO01.SK_GOBL_FIGT_04_26AHPB_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_05_26AHPB_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_05_26AHPB_GO01.SK_GOBL_FIGT_05_26AHPB_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_06_26AHPB_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_06_26AHPB_GO01.SK_GOBL_FIGT_06_26AHPB_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_07_26AHPB_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_07_26AHPB_GO01.SK_GOBL_FIGT_07_26AHPB_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_08_26AHPB_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_08_26AHPB_GO01.SK_GOBL_FIGT_08_26AHPB_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_09_26AHPB_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_09_26AHPB_GO01.SK_GOBL_FIGT_09_26AHPB_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_10_26AHPB_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_10_26AHPB_GO01.SK_GOBL_FIGT_10_26AHPB_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
