---,SK_Mesh,Material
SK_PIRT_CAPT_01_26AHPB_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_01_26AHPB_HU01.SK_PIRT_CAPT_01_26AHPB_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_02_26AHPB_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_02_26AHPB_HU01.SK_PIRT_CAPT_02_26AHPB_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_03_26AHPB_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_03_26AHPB_HU01.SK_PIRT_CAPT_03_26AHPB_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_04_26AHPB_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_04_26AHPB_HU01.SK_PIRT_CAPT_04_26AHPB_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_05_26AHPB_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_05_26AHPB_HU01.SK_PIRT_CAPT_05_26AHPB_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_06_26AHPB_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_06_26AHPB_HU01.SK_PIRT_CAPT_06_26AHPB_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_07_26AHPB_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_07_26AHPB_HU01.SK_PIRT_CAPT_07_26AHPB_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_08_26AHPB_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_08_26AHPB_HU01.SK_PIRT_CAPT_08_26AHPB_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_09_26AHPB_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_09_26AHPB_HU01.SK_PIRT_CAPT_09_26AHPB_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_10_26AHPB_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_10_26AHPB_HU01.SK_PIRT_CAPT_10_26AHPB_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
