---,SK_Mesh,Material
SK_GOBL_FIGT_01_25AHPF_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_01_25AHPF_GO01.SK_GOBL_FIGT_01_25AHPF_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_02_25AHPF_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_02_25AHPF_GO01.SK_GOBL_FIGT_02_25AHPF_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_03_25AHPF_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_03_25AHPF_GO01.SK_GOBL_FIGT_03_25AHPF_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_04_25AHPF_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_04_25AHPF_GO01.SK_GOBL_FIGT_04_25AHPF_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_05_25AHPF_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_05_25AHPF_GO01.SK_GOBL_FIGT_05_25AHPF_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_06_25AHPF_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_06_25AHPF_GO01.SK_GOBL_FIGT_06_25AHPF_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_07_25AHPF_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_07_25AHPF_GO01.SK_GOBL_FIGT_07_25AHPF_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_08_25AHPF_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_08_25AHPF_GO01.SK_GOBL_FIGT_08_25AHPF_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_09_25AHPF_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_09_25AHPF_GO01.SK_GOBL_FIGT_09_25AHPF_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_10_25AHPF_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_10_25AHPF_GO01.SK_GOBL_FIGT_10_25AHPF_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
