---,SK_Mesh,Material
SK_PIRT_CAPT_01_25AHPF_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_01_25AHPF_HU01.SK_PIRT_CAPT_01_25AHPF_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_02_25AHPF_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_02_25AHPF_HU01.SK_PIRT_CAPT_02_25AHPF_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_03_25AHPF_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_03_25AHPF_HU01.SK_PIRT_CAPT_03_25AHPF_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_04_25AHPF_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_04_25AHPF_HU01.SK_PIRT_CAPT_04_25AHPF_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_05_25AHPF_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_05_25AHPF_HU01.SK_PIRT_CAPT_05_25AHPF_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_06_25AHPF_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_06_25AHPF_HU01.SK_PIRT_CAPT_06_25AHPF_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_07_25AHPF_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_07_25AHPF_HU01.SK_PIRT_CAPT_07_25AHPF_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_08_25AHPF_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_08_25AHPF_HU01.SK_PIRT_CAPT_08_25AHPF_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_09_25AHPF_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_09_25AHPF_HU01.SK_PIRT_CAPT_09_25AHPF_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_10_25AHPF_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_10_25AHPF_HU01.SK_PIRT_CAPT_10_25AHPF_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
