---,SK_Mesh,Material
SK_GOBL_FIGT_01_27AHPL_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_01_27AHPL_GO01.SK_GOBL_FIGT_01_27AHPL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_02_27AHPL_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_02_27AHPL_GO01.SK_GOBL_FIGT_02_27AHPL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_03_27AHPL_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_03_27AHPL_GO01.SK_GOBL_FIGT_03_27AHPL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_04_27AHPL_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_04_27AHPL_GO01.SK_GOBL_FIGT_04_27AHPL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_05_27AHPL_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_05_27AHPL_GO01.SK_GOBL_FIGT_05_27AHPL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_06_27AHPL_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_06_27AHPL_GO01.SK_GOBL_FIGT_06_27AHPL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_07_27AHPL_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_07_27AHPL_GO01.SK_GOBL_FIGT_07_27AHPL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_08_27AHPL_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_08_27AHPL_GO01.SK_GOBL_FIGT_08_27AHPL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_09_27AHPL_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_09_27AHPL_GO01.SK_GOBL_FIGT_09_27AHPL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_10_27AHPL_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_10_27AHPL_GO01.SK_GOBL_FIGT_10_27AHPL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
