---,SK_Mesh,Material
SK_PIRT_CAPT_01_27AHPL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_01_27AHPL_HU01.SK_PIRT_CAPT_01_27AHPL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_02_27AHPL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_02_27AHPL_HU01.SK_PIRT_CAPT_02_27AHPL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_03_27AHPL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_03_27AHPL_HU01.SK_PIRT_CAPT_03_27AHPL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_04_27AHPL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_04_27AHPL_HU01.SK_PIRT_CAPT_04_27AHPL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_05_27AHPL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_05_27AHPL_HU01.SK_PIRT_CAPT_05_27AHPL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_06_27AHPL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_06_27AHPL_HU01.SK_PIRT_CAPT_06_27AHPL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_07_27AHPL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_07_27AHPL_HU01.SK_PIRT_CAPT_07_27AHPL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_08_27AHPL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_08_27AHPL_HU01.SK_PIRT_CAPT_08_27AHPL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_09_27AHPL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_09_27AHPL_HU01.SK_PIRT_CAPT_09_27AHPL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_10_27AHPL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_10_27AHPL_HU01.SK_PIRT_CAPT_10_27AHPL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
