---,SK_Mesh,Material
SK_GOBL_FIGT_01_28AHPR_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_01_28AHPR_GO01.SK_GOBL_FIGT_01_28AHPR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_02_28AHPR_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_02_28AHPR_GO01.SK_GOBL_FIGT_02_28AHPR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_03_28AHPR_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_03_28AHPR_GO01.SK_GOBL_FIGT_03_28AHPR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_04_28AHPR_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_04_28AHPR_GO01.SK_GOBL_FIGT_04_28AHPR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_05_28AHPR_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_05_28AHPR_GO01.SK_GOBL_FIGT_05_28AHPR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_06_28AHPR_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_06_28AHPR_GO01.SK_GOBL_FIGT_06_28AHPR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_07_28AHPR_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_07_28AHPR_GO01.SK_GOBL_FIGT_07_28AHPR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_08_28AHPR_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_08_28AHPR_GO01.SK_GOBL_FIGT_08_28AHPR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_09_28AHPR_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_09_28AHPR_GO01.SK_GOBL_FIGT_09_28AHPR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_10_28AHPR_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_10_28AHPR_GO01.SK_GOBL_FIGT_10_28AHPR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
