---,SK_Mesh,Material
SK_GOBL_FIGT_01_33AKNL_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_01_33AKNL_GO01.SK_GOBL_FIGT_01_33AKNL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_02_33AKNL_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_02_33AKNL_GO01.SK_GOBL_FIGT_02_33AKNL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_03_33AKNL_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_03_33AKNL_GO01.SK_GOBL_FIGT_03_33AKNL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_04_33AKNL_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_04_33AKNL_GO01.SK_GOBL_FIGT_04_33AKNL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_05_33AKNL_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_05_33AKNL_GO01.SK_GOBL_FIGT_05_33AKNL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_06_33AKNL_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_06_33AKNL_GO01.SK_GOBL_FIGT_06_33AKNL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_07_33AKNL_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_07_33AKNL_GO01.SK_GOBL_FIGT_07_33AKNL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_08_33AKNL_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_08_33AKNL_GO01.SK_GOBL_FIGT_08_33AKNL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_09_33AKNL_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_09_33AKNL_GO01.SK_GOBL_FIGT_09_33AKNL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_10_33AKNL_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_10_33AKNL_GO01.SK_GOBL_FIGT_10_33AKNL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
