---,SK_Mesh,Material
SK_APOC_OUTL_01_34AKNR_HU01,/Game/Sidekicks/Outfits/ApocalypseOutlaws/SK_APOC_OUTL_01_34AKNR_HU01.SK_APOC_OUTL_01_34AKNR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_OUTL_02_34AKNR_HU01,/Game/Sidekicks/Outfits/ApocalypseOutlaws/SK_APOC_OUTL_02_34AKNR_HU01.SK_APOC_OUTL_02_34AKNR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_OUTL_03_34AKNR_HU01,/Game/Sidekicks/Outfits/ApocalypseOutlaws/SK_APOC_OUTL_03_34AKNR_HU01.SK_APOC_OUTL_03_34AKNR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_OUTL_04_34AKNR_HU01,/Game/Sidekicks/Outfits/ApocalypseOutlaws/SK_APOC_OUTL_04_34AKNR_HU01.SK_APOC_OUTL_04_34AKNR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_OUTL_05_34AKNR_HU01,/Game/Sidekicks/Outfits/ApocalypseOutlaws/SK_APOC_OUTL_05_34AKNR_HU01.SK_APOC_OUTL_05_34AKNR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_OUTL_06_34AKNR_HU01,/Game/Sidekicks/Outfits/ApocalypseOutlaws/SK_APOC_OUTL_06_34AKNR_HU01.SK_APOC_OUTL_06_34AKNR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_OUTL_07_34AKNR_HU01,/Game/Sidekicks/Outfits/ApocalypseOutlaws/SK_APOC_OUTL_07_34AKNR_HU01.SK_APOC_OUTL_07_34AKNR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_OUTL_08_34AKNR_HU01,/Game/Sidekicks/Outfits/ApocalypseOutlaws/SK_APOC_OUTL_08_34AKNR_HU01.SK_APOC_OUTL_08_34AKNR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_OUTL_09_34AKNR_HU01,/Game/Sidekicks/Outfits/ApocalypseOutlaws/SK_APOC_OUTL_09_34AKNR_HU01.SK_APOC_OUTL_09_34AKNR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_OUTL_10_34AKNR_HU01,/Game/Sidekicks/Outfits/ApocalypseOutlaws/SK_APOC_OUTL_10_34AKNR_HU01.SK_APOC_OUTL_10_34AKNR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
