---,SK_Mesh,Material
SK_GOBL_FIGT_01_34AKNR_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_01_34AKNR_GO01.SK_GOBL_FIGT_01_34AKNR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_02_34AKNR_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_02_34AKNR_GO01.SK_GOBL_FIGT_02_34AKNR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_03_34AKNR_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_03_34AKNR_GO01.SK_GOBL_FIGT_03_34AKNR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_04_34AKNR_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_04_34AKNR_GO01.SK_GOBL_FIGT_04_34AKNR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_05_34AKNR_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_05_34AKNR_GO01.SK_GOBL_FIGT_05_34AKNR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_06_34AKNR_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_06_34AKNR_GO01.SK_GOBL_FIGT_06_34AKNR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_07_34AKNR_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_07_34AKNR_GO01.SK_GOBL_FIGT_07_34AKNR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_08_34AKNR_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_08_34AKNR_GO01.SK_GOBL_FIGT_08_34AKNR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_09_34AKNR_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_09_34AKNR_GO01.SK_GOBL_FIGT_09_34AKNR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_10_34AKNR_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_10_34AKNR_GO01.SK_GOBL_FIGT_10_34AKNR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
