---,SK_Mesh,Material
SK_SCFI_SOLD_01_34AKNR_HU01,/Game/Sidekicks/Outfits/ScifiSoldiers/SK_SCFI_SOLD_01_34AKNR_HU01.SK_SCFI_SOLD_01_34AKNR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_SCFI_SOLD_02_34AKNR_HU01,/Game/Sidekicks/Outfits/ScifiSoldiers/SK_SCFI_SOLD_02_34AKNR_HU01.SK_SCFI_SOLD_02_34AKNR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_SCFI_SOLD_03_34AKNR_HU01,/Game/Sidekicks/Outfits/ScifiSoldiers/SK_SCFI_SOLD_03_34AKNR_HU01.SK_SCFI_SOLD_03_34AKNR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_SCFI_SOLD_04_34AKNR_HU01,/Game/Sidekicks/Outfits/ScifiSoldiers/SK_SCFI_SOLD_04_34AKNR_HU01.SK_SCFI_SOLD_04_34AKNR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_SCFI_SOLD_05_34AKNR_HU01,/Game/Sidekicks/Outfits/ScifiSoldiers/SK_SCFI_SOLD_05_34AKNR_HU01.SK_SCFI_SOLD_05_34AKNR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_SCFI_SOLD_06_34AKNR_HU01,/Game/Sidekicks/Outfits/ScifiSoldiers/SK_SCFI_SOLD_06_34AKNR_HU01.SK_SCFI_SOLD_06_34AKNR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_SCFI_SOLD_07_34AKNR_HU01,/Game/Sidekicks/Outfits/ScifiSoldiers/SK_SCFI_SOLD_07_34AKNR_HU01.SK_SCFI_SOLD_07_34AKNR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_SCFI_SOLD_08_34AKNR_HU01,/Game/Sidekicks/Outfits/ScifiSoldiers/SK_SCFI_SOLD_08_34AKNR_HU01.SK_SCFI_SOLD_08_34AKNR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_SCFI_SOLD_09_34AKNR_HU01,/Game/Sidekicks/Outfits/ScifiSoldiers/SK_SCFI_SOLD_09_34AKNR_HU01.SK_SCFI_SOLD_09_34AKNR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_SCFI_SOLD_10_34AKNR_HU01,/Game/Sidekicks/Outfits/ScifiSoldiers/SK_SCFI_SOLD_10_34AKNR_HU01.SK_SCFI_SOLD_10_34AKNR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
