---,SK_Mesh,Material
SK_APOC_OUTL_01_13ALWL_HU01,/Game/Sidekicks/Outfits/ApocalypseOutlaws/SK_APOC_OUTL_01_13ALWL_HU01.SK_APOC_OUTL_01_13ALWL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_OUTL_02_13ALWL_HU01,/Game/Sidekicks/Outfits/ApocalypseOutlaws/SK_APOC_OUTL_02_13ALWL_HU01.SK_APOC_OUTL_02_13ALWL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_OUTL_03_13ALWL_HU01,/Game/Sidekicks/Outfits/ApocalypseOutlaws/SK_APOC_OUTL_03_13ALWL_HU01.SK_APOC_OUTL_03_13ALWL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_OUTL_04_13ALWL_HU01,/Game/Sidekicks/Outfits/ApocalypseOutlaws/SK_APOC_OUTL_04_13ALWL_HU01.SK_APOC_OUTL_04_13ALWL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_OUTL_05_13ALWL_HU01,/Game/Sidekicks/Outfits/ApocalypseOutlaws/SK_APOC_OUTL_05_13ALWL_HU01.SK_APOC_OUTL_05_13ALWL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_OUTL_06_13ALWL_HU01,/Game/Sidekicks/Outfits/ApocalypseOutlaws/SK_APOC_OUTL_06_13ALWL_HU01.SK_APOC_OUTL_06_13ALWL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_OUTL_07_13ALWL_HU01,/Game/Sidekicks/Outfits/ApocalypseOutlaws/SK_APOC_OUTL_07_13ALWL_HU01.SK_APOC_OUTL_07_13ALWL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_OUTL_08_13ALWL_HU01,/Game/Sidekicks/Outfits/ApocalypseOutlaws/SK_APOC_OUTL_08_13ALWL_HU01.SK_APOC_OUTL_08_13ALWL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_OUTL_09_13ALWL_HU01,/Game/Sidekicks/Outfits/ApocalypseOutlaws/SK_APOC_OUTL_09_13ALWL_HU01.SK_APOC_OUTL_09_13ALWL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_OUTL_10_13ALWL_HU01,/Game/Sidekicks/Outfits/ApocalypseOutlaws/SK_APOC_OUTL_10_13ALWL_HU01.SK_APOC_OUTL_10_13ALWL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_OUTL_11_13ALWL_HU01,/Game/Sidekicks/Outfits/ApocalypseOutlaws/SK_APOC_OUTL_11_13ALWL_HU01.SK_APOC_OUTL_11_13ALWL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_OUTL_12_13ALWL_HU01,/Game/Sidekicks/Outfits/ApocalypseOutlaws/SK_APOC_OUTL_12_13ALWL_HU01.SK_APOC_OUTL_12_13ALWL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_OUTL_13_13ALWL_HU01,/Game/Sidekicks/Outfits/ApocalypseOutlaws/SK_APOC_OUTL_13_13ALWL_HU01.SK_APOC_OUTL_13_13ALWL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
