---,SK_Mesh,Material
SK_GOBL_FIGT_01_13ALWL_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_01_13ALWL_GO01.SK_GOBL_FIGT_01_13ALWL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_02_13ALWL_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_02_13ALWL_GO01.SK_GOBL_FIGT_02_13ALWL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_03_13ALWL_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_03_13ALWL_GO01.SK_GOBL_FIGT_03_13ALWL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_04_13ALWL_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_04_13ALWL_GO01.SK_GOBL_FIGT_04_13ALWL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_05_13ALWL_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_05_13ALWL_GO01.SK_GOBL_FIGT_05_13ALWL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_06_13ALWL_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_06_13ALWL_GO01.SK_GOBL_FIGT_06_13ALWL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_07_13ALWL_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_07_13ALWL_GO01.SK_GOBL_FIGT_07_13ALWL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_08_13ALWL_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_08_13ALWL_GO01.SK_GOBL_FIGT_08_13ALWL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_09_13ALWL_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_09_13ALWL_GO01.SK_GOBL_FIGT_09_13ALWL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_10_13ALWL_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_10_13ALWL_GO01.SK_GOBL_FIGT_10_13ALWL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
