---,SK_Mesh,Material
SK_GOBL_FIGT_01_14ALWR_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_01_14ALWR_GO01.SK_GOBL_FIGT_01_14ALWR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_02_14ALWR_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_02_14ALWR_GO01.SK_GOBL_FIGT_02_14ALWR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_03_14ALWR_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_03_14ALWR_GO01.SK_GOBL_FIGT_03_14ALWR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_04_14ALWR_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_04_14ALWR_GO01.SK_GOBL_FIGT_04_14ALWR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_05_14ALWR_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_05_14ALWR_GO01.SK_GOBL_FIGT_05_14ALWR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_06_14ALWR_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_06_14ALWR_GO01.SK_GOBL_FIGT_06_14ALWR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_07_14ALWR_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_07_14ALWR_GO01.SK_GOBL_FIGT_07_14ALWR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_08_14ALWR_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_08_14ALWR_GO01.SK_GOBL_FIGT_08_14ALWR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_09_14ALWR_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_09_14ALWR_GO01.SK_GOBL_FIGT_09_14ALWR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_10_14ALWR_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_10_14ALWR_GO01.SK_GOBL_FIGT_10_14ALWR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
