---,SK_Mesh,Material
SK_PIRT_CAPT_01_14ALWR_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_01_14ALWR_HU01.SK_PIRT_CAPT_01_14ALWR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_02_14ALWR_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_02_14ALWR_HU01.SK_PIRT_CAPT_02_14ALWR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_03_14ALWR_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_03_14ALWR_HU01.SK_PIRT_CAPT_03_14ALWR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_04_14ALWR_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_04_14ALWR_HU01.SK_PIRT_CAPT_04_14ALWR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_05_14ALWR_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_05_14ALWR_HU01.SK_PIRT_CAPT_05_14ALWR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_06_14ALWR_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_06_14ALWR_HU01.SK_PIRT_CAPT_06_14ALWR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_07_14ALWR_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_07_14ALWR_HU01.SK_PIRT_CAPT_07_14ALWR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_08_14ALWR_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_08_14ALWR_HU01.SK_PIRT_CAPT_08_14ALWR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_09_14ALWR_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_09_14ALWR_HU01.SK_PIRT_CAPT_09_14ALWR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_10_14ALWR_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_10_14ALWR_HU01.SK_PIRT_CAPT_10_14ALWR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
