---,SK_Mesh,Material
SK_SCFI_SOLD_01_29ASHL_HU01,/Game/Sidekicks/Outfits/ScifiSoldiers/SK_SCFI_SOLD_01_29ASHL_HU01.SK_SCFI_SOLD_01_29ASHL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_SCFI_SOLD_02_29ASHL_HU01,/Game/Sidekicks/Outfits/ScifiSoldiers/SK_SCFI_SOLD_02_29ASHL_HU01.SK_SCFI_SOLD_02_29ASHL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_SCFI_SOLD_03_29ASHL_HU01,/Game/Sidekicks/Outfits/ScifiSoldiers/SK_SCFI_SOLD_03_29ASHL_HU01.SK_SCFI_SOLD_03_29ASHL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_SCFI_SOLD_04_29ASHL_HU01,/Game/Sidekicks/Outfits/ScifiSoldiers/SK_SCFI_SOLD_04_29ASHL_HU01.SK_SCFI_SOLD_04_29ASHL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_SCFI_SOLD_05_29ASHL_HU01,/Game/Sidekicks/Outfits/ScifiSoldiers/SK_SCFI_SOLD_05_29ASHL_HU01.SK_SCFI_SOLD_05_29ASHL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_SCFI_SOLD_06_29ASHL_HU01,/Game/Sidekicks/Outfits/ScifiSoldiers/SK_SCFI_SOLD_06_29ASHL_HU01.SK_SCFI_SOLD_06_29ASHL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_SCFI_SOLD_07_29ASHL_HU01,/Game/Sidekicks/Outfits/ScifiSoldiers/SK_SCFI_SOLD_07_29ASHL_HU01.SK_SCFI_SOLD_07_29ASHL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_SCFI_SOLD_08_29ASHL_HU01,/Game/Sidekicks/Outfits/ScifiSoldiers/SK_SCFI_SOLD_08_29ASHL_HU01.SK_SCFI_SOLD_08_29ASHL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_SCFI_SOLD_09_29ASHL_HU01,/Game/Sidekicks/Outfits/ScifiSoldiers/SK_SCFI_SOLD_09_29ASHL_HU01.SK_SCFI_SOLD_09_29ASHL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_SCFI_SOLD_10_29ASHL_HU01,/Game/Sidekicks/Outfits/ScifiSoldiers/SK_SCFI_SOLD_10_29ASHL_HU01.SK_SCFI_SOLD_10_29ASHL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
