---,SK_Mesh,Material
SK_APOC_OUTL_01_11AUPL_HU01,/Game/Sidekicks/Outfits/ApocalypseOutlaws/SK_APOC_OUTL_01_11AUPL_HU01.SK_APOC_OUTL_01_11AUPL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_OUTL_02_11AUPL_HU01,/Game/Sidekicks/Outfits/ApocalypseOutlaws/SK_APOC_OUTL_02_11AUPL_HU01.SK_APOC_OUTL_02_11AUPL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_OUTL_03_11AUPL_HU01,/Game/Sidekicks/Outfits/ApocalypseOutlaws/SK_APOC_OUTL_03_11AUPL_HU01.SK_APOC_OUTL_03_11AUPL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_OUTL_04_11AUPL_HU01,/Game/Sidekicks/Outfits/ApocalypseOutlaws/SK_APOC_OUTL_04_11AUPL_HU01.SK_APOC_OUTL_04_11AUPL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_OUTL_05_11AUPL_HU01,/Game/Sidekicks/Outfits/ApocalypseOutlaws/SK_APOC_OUTL_05_11AUPL_HU01.SK_APOC_OUTL_05_11AUPL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_OUTL_06_11AUPL_HU01,/Game/Sidekicks/Outfits/ApocalypseOutlaws/SK_APOC_OUTL_06_11AUPL_HU01.SK_APOC_OUTL_06_11AUPL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_OUTL_07_11AUPL_HU01,/Game/Sidekicks/Outfits/ApocalypseOutlaws/SK_APOC_OUTL_07_11AUPL_HU01.SK_APOC_OUTL_07_11AUPL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_OUTL_08_11AUPL_HU01,/Game/Sidekicks/Outfits/ApocalypseOutlaws/SK_APOC_OUTL_08_11AUPL_HU01.SK_APOC_OUTL_08_11AUPL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_OUTL_09_11AUPL_HU01,/Game/Sidekicks/Outfits/ApocalypseOutlaws/SK_APOC_OUTL_09_11AUPL_HU01.SK_APOC_OUTL_09_11AUPL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_APOC_OUTL_10_11AUPL_HU01,/Game/Sidekicks/Outfits/ApocalypseOutlaws/SK_APOC_OUTL_10_11AUPL_HU01.SK_APOC_OUTL_10_11AUPL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
