---,SK_Mesh,Material
SK_PIRT_CAPT_01_11AUPL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_01_11AUPL_HU01.SK_PIRT_CAPT_01_11AUPL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_02_11AUPL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_02_11AUPL_HU01.SK_PIRT_CAPT_02_11AUPL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_03_11AUPL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_03_11AUPL_HU01.SK_PIRT_CAPT_03_11AUPL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_04_11AUPL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_04_11AUPL_HU01.SK_PIRT_CAPT_04_11AUPL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_05_11AUPL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_05_11AUPL_HU01.SK_PIRT_CAPT_05_11AUPL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_06_11AUPL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_06_11AUPL_HU01.SK_PIRT_CAPT_06_11AUPL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_07_11AUPL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_07_11AUPL_HU01.SK_PIRT_CAPT_07_11AUPL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_08_11AUPL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_08_11AUPL_HU01.SK_PIRT_CAPT_08_11AUPL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_09_11AUPL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_09_11AUPL_HU01.SK_PIRT_CAPT_09_11AUPL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_10_11AUPL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_10_11AUPL_HU01.SK_PIRT_CAPT_10_11AUPL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
