---,SK_Mesh,Material
SK_SCFI_SOLD_01_11AUPL_HU01,/Game/Sidekicks/Outfits/ScifiSoldiers/SK_SCFI_SOLD_01_11AUPL_HU01.SK_SCFI_SOLD_01_11AUPL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_SCFI_SOLD_02_11AUPL_HU01,/Game/Sidekicks/Outfits/ScifiSoldiers/SK_SCFI_SOLD_02_11AUPL_HU01.SK_SCFI_SOLD_02_11AUPL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_SCFI_SOLD_03_11AUPL_HU01,/Game/Sidekicks/Outfits/ScifiSoldiers/SK_SCFI_SOLD_03_11AUPL_HU01.SK_SCFI_SOLD_03_11AUPL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_SCFI_SOLD_04_11AUPL_HU01,/Game/Sidekicks/Outfits/ScifiSoldiers/SK_SCFI_SOLD_04_11AUPL_HU01.SK_SCFI_SOLD_04_11AUPL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_SCFI_SOLD_05_11AUPL_HU01,/Game/Sidekicks/Outfits/ScifiSoldiers/SK_SCFI_SOLD_05_11AUPL_HU01.SK_SCFI_SOLD_05_11AUPL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_SCFI_SOLD_06_11AUPL_HU01,/Game/Sidekicks/Outfits/ScifiSoldiers/SK_SCFI_SOLD_06_11AUPL_HU01.SK_SCFI_SOLD_06_11AUPL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_SCFI_SOLD_07_11AUPL_HU01,/Game/Sidekicks/Outfits/ScifiSoldiers/SK_SCFI_SOLD_07_11AUPL_HU01.SK_SCFI_SOLD_07_11AUPL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_SCFI_SOLD_08_11AUPL_HU01,/Game/Sidekicks/Outfits/ScifiSoldiers/SK_SCFI_SOLD_08_11AUPL_HU01.SK_SCFI_SOLD_08_11AUPL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_SCFI_SOLD_09_11AUPL_HU01,/Game/Sidekicks/Outfits/ScifiSoldiers/SK_SCFI_SOLD_09_11AUPL_HU01.SK_SCFI_SOLD_09_11AUPL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_SCFI_SOLD_10_11AUPL_HU01,/Game/Sidekicks/Outfits/ScifiSoldiers/SK_SCFI_SOLD_10_11AUPL_HU01.SK_SCFI_SOLD_10_11AUPL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
