---,SK_Mesh,Material
SK_GOBL_FIGT_01_12AUPR_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_01_12AUPR_GO01.SK_GOBL_FIGT_01_12AUPR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_02_12AUPR_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_02_12AUPR_GO01.SK_GOBL_FIGT_02_12AUPR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_03_12AUPR_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_03_12AUPR_GO01.SK_GOBL_FIGT_03_12AUPR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_04_12AUPR_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_04_12AUPR_GO01.SK_GOBL_FIGT_04_12AUPR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_05_12AUPR_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_05_12AUPR_GO01.SK_GOBL_FIGT_05_12AUPR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_06_12AUPR_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_06_12AUPR_GO01.SK_GOBL_FIGT_06_12AUPR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_07_12AUPR_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_07_12AUPR_GO01.SK_GOBL_FIGT_07_12AUPR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_08_12AUPR_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_08_12AUPR_GO01.SK_GOBL_FIGT_08_12AUPR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_09_12AUPR_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_09_12AUPR_GO01.SK_GOBL_FIGT_09_12AUPR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_10_12AUPR_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_10_12AUPR_GO01.SK_GOBL_FIGT_10_12AUPR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
