---,SK_Mesh,Material
SK_GOBL_BASE_01_07EARL_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_01_07EARL_GO01.SK_GOBL_BASE_01_07EARL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_02_07EARL_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_02_07EARL_GO01.SK_GOBL_BASE_02_07EARL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_03_07EARL_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_03_07EARL_GO01.SK_GOBL_BASE_03_07EARL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_04_07EARL_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_04_07EARL_GO01.SK_GOBL_BASE_04_07EARL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_05_07EARL_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_05_07EARL_GO01.SK_GOBL_BASE_05_07EARL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_06_07EARL_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_06_07EARL_GO01.SK_GOBL_BASE_06_07EARL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_07_07EARL_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_07_07EARL_GO01.SK_GOBL_BASE_07_07EARL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_08_07EARL_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_08_07EARL_GO01.SK_GOBL_BASE_08_07EARL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_09_07EARL_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_09_07EARL_GO01.SK_GOBL_BASE_09_07EARL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_10_07EARL_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_10_07EARL_GO01.SK_GOBL_BASE_10_07EARL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
