---,SK_Mesh,Material
SK_HUMN_BASE_01_07EARL_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_01_07EARL_HU01.SK_HUMN_BASE_01_07EARL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_02_07EARL_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_02_07EARL_HU01.SK_HUMN_BASE_02_07EARL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_03_07EARL_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_03_07EARL_HU01.SK_HUMN_BASE_03_07EARL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_04_07EARL_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_04_07EARL_HU01.SK_HUMN_BASE_04_07EARL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_05_07EARL_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_05_07EARL_HU01.SK_HUMN_BASE_05_07EARL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_06_07EARL_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_06_07EARL_HU01.SK_HUMN_BASE_06_07EARL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_07_07EARL_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_07_07EARL_HU01.SK_HUMN_BASE_07_07EARL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_08_07EARL_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_08_07EARL_HU01.SK_HUMN_BASE_08_07EARL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_09_07EARL_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_09_07EARL_HU01.SK_HUMN_BASE_09_07EARL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_10_07EARL_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_10_07EARL_HU01.SK_HUMN_BASE_10_07EARL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
