---,SK_Mesh,Material
SK_GOBL_BASE_01_08EARR_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_01_08EARR_GO01.SK_GOBL_BASE_01_08EARR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_02_08EARR_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_02_08EARR_GO01.SK_GOBL_BASE_02_08EARR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_03_08EARR_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_03_08EARR_GO01.SK_GOBL_BASE_03_08EARR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_04_08EARR_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_04_08EARR_GO01.SK_GOBL_BASE_04_08EARR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_05_08EARR_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_05_08EARR_GO01.SK_GOBL_BASE_05_08EARR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_06_08EARR_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_06_08EARR_GO01.SK_GOBL_BASE_06_08EARR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_07_08EARR_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_07_08EARR_GO01.SK_GOBL_BASE_07_08EARR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_08_08EARR_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_08_08EARR_GO01.SK_GOBL_BASE_08_08EARR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_09_08EARR_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_09_08EARR_GO01.SK_GOBL_BASE_09_08EARR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_10_08EARR_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_10_08EARR_GO01.SK_GOBL_BASE_10_08EARR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
