---,SK_Mesh,Material
SK_HUMN_BASE_01_08EARR_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_01_08EARR_HU01.SK_HUMN_BASE_01_08EARR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_02_08EARR_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_02_08EARR_HU01.SK_HUMN_BASE_02_08EARR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_03_08EARR_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_03_08EARR_HU01.SK_HUMN_BASE_03_08EARR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_04_08EARR_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_04_08EARR_HU01.SK_HUMN_BASE_04_08EARR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_05_08EARR_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_05_08EARR_HU01.SK_HUMN_BASE_05_08EARR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_06_08EARR_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_06_08EARR_HU01.SK_HUMN_BASE_06_08EARR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_07_08EARR_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_07_08EARR_HU01.SK_HUMN_BASE_07_08EARR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_08_08EARR_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_08_08EARR_HU01.SK_HUMN_BASE_08_08EARR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_09_08EARR_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_09_08EARR_HU01.SK_HUMN_BASE_09_08EARR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_10_08EARR_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_10_08EARR_HU01.SK_HUMN_BASE_10_08EARR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
