---,SK_Mesh,Material
SK_PIRT_CAPT_01_08EARR_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_01_08EARR_HU01.SK_PIRT_CAPT_01_08EARR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_02_08EARR_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_02_08EARR_HU01.SK_PIRT_CAPT_02_08EARR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_03_08EARR_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_03_08EARR_HU01.SK_PIRT_CAPT_03_08EARR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_04_08EARR_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_04_08EARR_HU01.SK_PIRT_CAPT_04_08EARR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_05_08EARR_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_05_08EARR_HU01.SK_PIRT_CAPT_05_08EARR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_06_08EARR_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_06_08EARR_HU01.SK_PIRT_CAPT_06_08EARR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_07_08EARR_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_07_08EARR_HU01.SK_PIRT_CAPT_07_08EARR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_08_08EARR_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_08_08EARR_HU01.SK_PIRT_CAPT_08_08EARR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_09_08EARR_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_09_08EARR_HU01.SK_PIRT_CAPT_09_08EARR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_10_08EARR_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_10_08EARR_HU01.SK_PIRT_CAPT_10_08EARR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
