---,SK_Mesh,Material
SK_GOBL_BASE_01_03EBRL_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_01_03EBRL_GO01.SK_GOBL_BASE_01_03EBRL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_02_03EBRL_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_02_03EBRL_GO01.SK_GOBL_BASE_02_03EBRL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_03_03EBRL_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_03_03EBRL_GO01.SK_GOBL_BASE_03_03EBRL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_04_03EBRL_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_04_03EBRL_GO01.SK_GOBL_BASE_04_03EBRL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_05_03EBRL_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_05_03EBRL_GO01.SK_GOBL_BASE_05_03EBRL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_06_03EBRL_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_06_03EBRL_GO01.SK_GOBL_BASE_06_03EBRL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_07_03EBRL_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_07_03EBRL_GO01.SK_GOBL_BASE_07_03EBRL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_08_03EBRL_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_08_03EBRL_GO01.SK_GOBL_BASE_08_03EBRL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_09_03EBRL_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_09_03EBRL_GO01.SK_GOBL_BASE_09_03EBRL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_10_03EBRL_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_10_03EBRL_GO01.SK_GOBL_BASE_10_03EBRL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
