---,SK_Mesh,Material
SK_HUMN_BASE_01_03EBRL_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_01_03EBRL_HU01.SK_HUMN_BASE_01_03EBRL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_02_03EBRL_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_02_03EBRL_HU01.SK_HUMN_BASE_02_03EBRL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_03_03EBRL_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_03_03EBRL_HU01.SK_HUMN_BASE_03_03EBRL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_04_03EBRL_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_04_03EBRL_HU01.SK_HUMN_BASE_04_03EBRL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_05_03EBRL_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_05_03EBRL_HU01.SK_HUMN_BASE_05_03EBRL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_06_03EBRL_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_06_03EBRL_HU01.SK_HUMN_BASE_06_03EBRL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_07_03EBRL_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_07_03EBRL_HU01.SK_HUMN_BASE_07_03EBRL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_08_03EBRL_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_08_03EBRL_HU01.SK_HUMN_BASE_08_03EBRL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_09_03EBRL_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_09_03EBRL_HU01.SK_HUMN_BASE_09_03EBRL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_10_03EBRL_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_10_03EBRL_HU01.SK_HUMN_BASE_10_03EBRL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
