---,SK_Mesh,Material
SK_PIRT_CAPT_01_03EBRL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_01_03EBRL_HU01.SK_PIRT_CAPT_01_03EBRL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_02_03EBRL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_02_03EBRL_HU01.SK_PIRT_CAPT_02_03EBRL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_03_03EBRL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_03_03EBRL_HU01.SK_PIRT_CAPT_03_03EBRL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_04_03EBRL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_04_03EBRL_HU01.SK_PIRT_CAPT_04_03EBRL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_05_03EBRL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_05_03EBRL_HU01.SK_PIRT_CAPT_05_03EBRL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_06_03EBRL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_06_03EBRL_HU01.SK_PIRT_CAPT_06_03EBRL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_07_03EBRL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_07_03EBRL_HU01.SK_PIRT_CAPT_07_03EBRL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_08_03EBRL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_08_03EBRL_HU01.SK_PIRT_CAPT_08_03EBRL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_09_03EBRL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_09_03EBRL_HU01.SK_PIRT_CAPT_09_03EBRL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_10_03EBRL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_10_03EBRL_HU01.SK_PIRT_CAPT_10_03EBRL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
