---,SK_Mesh,Material
SK_GOBL_BASE_01_04EBRR_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_01_04EBRR_GO01.SK_GOBL_BASE_01_04EBRR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_02_04EBRR_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_02_04EBRR_GO01.SK_GOBL_BASE_02_04EBRR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_03_04EBRR_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_03_04EBRR_GO01.SK_GOBL_BASE_03_04EBRR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_04_04EBRR_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_04_04EBRR_GO01.SK_GOBL_BASE_04_04EBRR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_05_04EBRR_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_05_04EBRR_GO01.SK_GOBL_BASE_05_04EBRR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_06_04EBRR_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_06_04EBRR_GO01.SK_GOBL_BASE_06_04EBRR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_07_04EBRR_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_07_04EBRR_GO01.SK_GOBL_BASE_07_04EBRR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_08_04EBRR_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_08_04EBRR_GO01.SK_GOBL_BASE_08_04EBRR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_09_04EBRR_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_09_04EBRR_GO01.SK_GOBL_BASE_09_04EBRR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_10_04EBRR_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_10_04EBRR_GO01.SK_GOBL_BASE_10_04EBRR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
