---,SK_Mesh,Material
SK_HUMN_BASE_01_04EBRR_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_01_04EBRR_HU01.SK_HUMN_BASE_01_04EBRR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_02_04EBRR_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_02_04EBRR_HU01.SK_HUMN_BASE_02_04EBRR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_03_04EBRR_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_03_04EBRR_HU01.SK_HUMN_BASE_03_04EBRR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_04_04EBRR_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_04_04EBRR_HU01.SK_HUMN_BASE_04_04EBRR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_05_04EBRR_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_05_04EBRR_HU01.SK_HUMN_BASE_05_04EBRR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_06_04EBRR_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_06_04EBRR_HU01.SK_HUMN_BASE_06_04EBRR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_07_04EBRR_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_07_04EBRR_HU01.SK_HUMN_BASE_07_04EBRR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_08_04EBRR_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_08_04EBRR_HU01.SK_HUMN_BASE_08_04EBRR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_09_04EBRR_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_09_04EBRR_HU01.SK_HUMN_BASE_09_04EBRR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_10_04EBRR_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_10_04EBRR_HU01.SK_HUMN_BASE_10_04EBRR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
