---,SK_Mesh,Material
SK_PIRT_CAPT_01_04EBRR_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_01_04EBRR_HU01.SK_PIRT_CAPT_01_04EBRR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_02_04EBRR_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_02_04EBRR_HU01.SK_PIRT_CAPT_02_04EBRR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_03_04EBRR_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_03_04EBRR_HU01.SK_PIRT_CAPT_03_04EBRR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_04_04EBRR_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_04_04EBRR_HU01.SK_PIRT_CAPT_04_04EBRR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_05_04EBRR_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_05_04EBRR_HU01.SK_PIRT_CAPT_05_04EBRR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_06_04EBRR_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_06_04EBRR_HU01.SK_PIRT_CAPT_06_04EBRR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_07_04EBRR_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_07_04EBRR_HU01.SK_PIRT_CAPT_07_04EBRR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_08_04EBRR_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_08_04EBRR_HU01.SK_PIRT_CAPT_08_04EBRR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_09_04EBRR_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_09_04EBRR_HU01.SK_PIRT_CAPT_09_04EBRR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_10_04EBRR_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_10_04EBRR_HU01.SK_PIRT_CAPT_10_04EBRR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
