---,SK_Mesh,Material
SK_GOBL_BASE_01_09FCHR_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_01_09FCHR_GO01.SK_GOBL_BASE_01_09FCHR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_02_09FCHR_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_02_09FCHR_GO01.SK_GOBL_BASE_02_09FCHR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_03_09FCHR_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_03_09FCHR_GO01.SK_GOBL_BASE_03_09FCHR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_04_09FCHR_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_04_09FCHR_GO01.SK_GOBL_BASE_04_09FCHR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_05_09FCHR_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_05_09FCHR_GO01.SK_GOBL_BASE_05_09FCHR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_06_09FCHR_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_06_09FCHR_GO01.SK_GOBL_BASE_06_09FCHR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_07_09FCHR_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_07_09FCHR_GO01.SK_GOBL_BASE_07_09FCHR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_08_09FCHR_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_08_09FCHR_GO01.SK_GOBL_BASE_08_09FCHR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_09_09FCHR_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_09_09FCHR_GO01.SK_GOBL_BASE_09_09FCHR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_10_09FCHR_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_10_09FCHR_GO01.SK_GOBL_BASE_10_09FCHR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
