---,SK_Mesh,Material
SK_GOBL_FIGT_01_09FCHR_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_01_09FCHR_GO01.SK_GOBL_FIGT_01_09FCHR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_02_09FCHR_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_02_09FCHR_GO01.SK_GOBL_FIGT_02_09FCHR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_03_09FCHR_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_03_09FCHR_GO01.SK_GOBL_FIGT_03_09FCHR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_04_09FCHR_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_04_09FCHR_GO01.SK_GOBL_FIGT_04_09FCHR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_05_09FCHR_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_05_09FCHR_GO01.SK_GOBL_FIGT_05_09FCHR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_06_09FCHR_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_06_09FCHR_GO01.SK_GOBL_FIGT_06_09FCHR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_07_09FCHR_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_07_09FCHR_GO01.SK_GOBL_FIGT_07_09FCHR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_08_09FCHR_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_08_09FCHR_GO01.SK_GOBL_FIGT_08_09FCHR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_09_09FCHR_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_09_09FCHR_GO01.SK_GOBL_FIGT_09_09FCHR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_10_09FCHR_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_10_09FCHR_GO01.SK_GOBL_FIGT_10_09FCHR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
