---,SK_Mesh,Material
SK_HUMN_BASE_01_09FCHR_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_01_09FCHR_HU01.SK_HUMN_BASE_01_09FCHR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_02_09FCHR_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_02_09FCHR_HU01.SK_HUMN_BASE_02_09FCHR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_03_09FCHR_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_03_09FCHR_HU01.SK_HUMN_BASE_03_09FCHR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_04_09FCHR_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_04_09FCHR_HU01.SK_HUMN_BASE_04_09FCHR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_05_09FCHR_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_05_09FCHR_HU01.SK_HUMN_BASE_05_09FCHR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_06_09FCHR_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_06_09FCHR_HU01.SK_HUMN_BASE_06_09FCHR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_07_09FCHR_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_07_09FCHR_HU01.SK_HUMN_BASE_07_09FCHR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_08_09FCHR_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_08_09FCHR_HU01.SK_HUMN_BASE_08_09FCHR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_09_09FCHR_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_09_09FCHR_HU01.SK_HUMN_BASE_09_09FCHR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_10_09FCHR_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_10_09FCHR_HU01.SK_HUMN_BASE_10_09FCHR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
