---,SK_Mesh,Material
SK_PIRT_CAPT_01_09FCHR_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_01_09FCHR_HU01.SK_PIRT_CAPT_01_09FCHR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_02_09FCHR_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_02_09FCHR_HU01.SK_PIRT_CAPT_02_09FCHR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_03_09FCHR_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_03_09FCHR_HU01.SK_PIRT_CAPT_03_09FCHR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_04_09FCHR_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_04_09FCHR_HU01.SK_PIRT_CAPT_04_09FCHR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_05_09FCHR_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_05_09FCHR_HU01.SK_PIRT_CAPT_05_09FCHR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_06_09FCHR_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_06_09FCHR_HU01.SK_PIRT_CAPT_06_09FCHR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_07_09FCHR_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_07_09FCHR_HU01.SK_PIRT_CAPT_07_09FCHR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_08_09FCHR_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_08_09FCHR_HU01.SK_PIRT_CAPT_08_09FCHR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_09_09FCHR_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_09_09FCHR_HU01.SK_PIRT_CAPT_09_09FCHR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_10_09FCHR_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_10_09FCHR_HU01.SK_PIRT_CAPT_10_09FCHR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
