---,SK_Mesh,Material
SK_PIRT_CAPT_01_20FOTL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_01_20FOTL_HU01.SK_PIRT_CAPT_01_20FOTL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_02_20FOTL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_02_20FOTL_HU01.SK_PIRT_CAPT_02_20FOTL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_03_20FOTL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_03_20FOTL_HU01.SK_PIRT_CAPT_03_20FOTL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_04_20FOTL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_04_20FOTL_HU01.SK_PIRT_CAPT_04_20FOTL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_05_20FOTL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_05_20FOTL_HU01.SK_PIRT_CAPT_05_20FOTL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_06_20FOTL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_06_20FOTL_HU01.SK_PIRT_CAPT_06_20FOTL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_07_20FOTL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_07_20FOTL_HU01.SK_PIRT_CAPT_07_20FOTL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_08_20FOTL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_08_20FOTL_HU01.SK_PIRT_CAPT_08_20FOTL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_09_20FOTL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_09_20FOTL_HU01.SK_PIRT_CAPT_09_20FOTL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_10_20FOTL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_10_20FOTL_HU01.SK_PIRT_CAPT_10_20FOTL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
