---,SK_Mesh,Material
SK_GOBL_BASE_01_02HAIR_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_01_02HAIR_GO01.SK_GOBL_BASE_01_02HAIR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_02_02HAIR_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_02_02HAIR_GO01.SK_GOBL_BASE_02_02HAIR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_03_02HAIR_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_03_02HAIR_GO01.SK_GOBL_BASE_03_02HAIR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_04_02HAIR_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_04_02HAIR_GO01.SK_GOBL_BASE_04_02HAIR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_05_02HAIR_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_05_02HAIR_GO01.SK_GOBL_BASE_05_02HAIR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_06_02HAIR_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_06_02HAIR_GO01.SK_GOBL_BASE_06_02HAIR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_07_02HAIR_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_07_02HAIR_GO01.SK_GOBL_BASE_07_02HAIR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_08_02HAIR_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_08_02HAIR_GO01.SK_GOBL_BASE_08_02HAIR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_09_02HAIR_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_09_02HAIR_GO01.SK_GOBL_BASE_09_02HAIR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_10_02HAIR_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_10_02HAIR_GO01.SK_GOBL_BASE_10_02HAIR_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
