---,SK_Mesh,Material
SK_HUMN_BASE_01_02HAIR_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_01_02HAIR_HU01.SK_HUMN_BASE_01_02HAIR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_02_02HAIR_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_02_02HAIR_HU01.SK_HUMN_BASE_02_02HAIR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_03_02HAIR_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_03_02HAIR_HU01.SK_HUMN_BASE_03_02HAIR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_04_02HAIR_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_04_02HAIR_HU01.SK_HUMN_BASE_04_02HAIR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_05_02HAIR_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_05_02HAIR_HU01.SK_HUMN_BASE_05_02HAIR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_06_02HAIR_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_06_02HAIR_HU01.SK_HUMN_BASE_06_02HAIR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_07_02HAIR_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_07_02HAIR_HU01.SK_HUMN_BASE_07_02HAIR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_08_02HAIR_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_08_02HAIR_HU01.SK_HUMN_BASE_08_02HAIR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_09_02HAIR_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_09_02HAIR_HU01.SK_HUMN_BASE_09_02HAIR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_10_02HAIR_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_10_02HAIR_HU01.SK_HUMN_BASE_10_02HAIR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
