---,SK_Mesh,Material
SK_ZOMB_BASE_01_02HAIR_ZB01,/Game/Sidekicks/Species/Zombies/SK_ZOMB_BASE_01_02HAIR_ZB01.SK_ZOMB_BASE_01_02HAIR_ZB01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_ZOMB_BASE_02_02HAIR_ZB01,/Game/Sidekicks/Species/Zombies/SK_ZOMB_BASE_02_02HAIR_ZB01.SK_ZOMB_BASE_02_02HAIR_ZB01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_ZOMB_BASE_03_02HAIR_ZB01,/Game/Sidekicks/Species/Zombies/SK_ZOMB_BASE_03_02HAIR_ZB01.SK_ZOMB_BASE_03_02HAIR_ZB01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_ZOMB_BASE_04_02HAIR_ZB01,/Game/Sidekicks/Species/Zombies/SK_ZOMB_BASE_04_02HAIR_ZB01.SK_ZOMB_BASE_04_02HAIR_ZB01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_ZOMB_BASE_05_02HAIR_ZB01,/Game/Sidekicks/Species/Zombies/SK_ZOMB_BASE_05_02HAIR_ZB01.SK_ZOMB_BASE_05_02HAIR_ZB01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_ZOMB_BASE_06_02HAIR_ZB01,/Game/Sidekicks/Species/Zombies/SK_ZOMB_BASE_06_02HAIR_ZB01.SK_ZOMB_BASE_06_02HAIR_ZB01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_ZOMB_BASE_07_02HAIR_ZB01,/Game/Sidekicks/Species/Zombies/SK_ZOMB_BASE_07_02HAIR_ZB01.SK_ZOMB_BASE_07_02HAIR_ZB01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_ZOMB_BASE_08_02HAIR_ZB01,/Game/Sidekicks/Species/Zombies/SK_ZOMB_BASE_08_02HAIR_ZB01.SK_ZOMB_BASE_08_02HAIR_ZB01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_ZOMB_BASE_09_02HAIR_ZB01,/Game/Sidekicks/Species/Zombies/SK_ZOMB_BASE_09_02HAIR_ZB01.SK_ZOMB_BASE_09_02HAIR_ZB01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_ZOMB_BASE_10_02HAIR_ZB01,/Game/Sidekicks/Species/Zombies/SK_ZOMB_BASE_10_02HAIR_ZB01.SK_ZOMB_BASE_10_02HAIR_ZB01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
