---,SK_Mesh,Material
SK_GOBL_FIGT_01_17HIPS_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_01_17HIPS_GO01.SK_GOBL_FIGT_01_17HIPS_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_02_17HIPS_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_02_17HIPS_GO01.SK_GOBL_FIGT_02_17HIPS_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_03_17HIPS_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_03_17HIPS_GO01.SK_GOBL_FIGT_03_17HIPS_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_04_17HIPS_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_04_17HIPS_GO01.SK_GOBL_FIGT_04_17HIPS_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_05_17HIPS_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_05_17HIPS_GO01.SK_GOBL_FIGT_05_17HIPS_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_06_17HIPS_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_06_17HIPS_GO01.SK_GOBL_FIGT_06_17HIPS_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_07_17HIPS_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_07_17HIPS_GO01.SK_GOBL_FIGT_07_17HIPS_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_08_17HIPS_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_08_17HIPS_GO01.SK_GOBL_FIGT_08_17HIPS_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_09_17HIPS_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_09_17HIPS_GO01.SK_GOBL_FIGT_09_17HIPS_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_10_17HIPS_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_10_17HIPS_GO01.SK_GOBL_FIGT_10_17HIPS_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
