---,SK_Mesh,Material
SK_PIRT_CAPT_01_17HIPS_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_01_17HIPS_HU01.SK_PIRT_CAPT_01_17HIPS_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_02_17HIPS_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_02_17HIPS_HU01.SK_PIRT_CAPT_02_17HIPS_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_03_17HIPS_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_03_17HIPS_HU01.SK_PIRT_CAPT_03_17HIPS_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_04_17HIPS_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_04_17HIPS_HU01.SK_PIRT_CAPT_04_17HIPS_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_05_17HIPS_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_05_17HIPS_HU01.SK_PIRT_CAPT_05_17HIPS_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_06_17HIPS_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_06_17HIPS_HU01.SK_PIRT_CAPT_06_17HIPS_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_07_17HIPS_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_07_17HIPS_HU01.SK_PIRT_CAPT_07_17HIPS_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_08_17HIPS_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_08_17HIPS_HU01.SK_PIRT_CAPT_08_17HIPS_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_09_17HIPS_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_09_17HIPS_HU01.SK_PIRT_CAPT_09_17HIPS_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_10_17HIPS_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_10_17HIPS_HU01.SK_PIRT_CAPT_10_17HIPS_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
