---,SK_Mesh,Material
SK_PIRT_CAPT_01_15HNDL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_01_15HNDL_HU01.SK_PIRT_CAPT_01_15HNDL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_02_15HNDL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_02_15HNDL_HU01.SK_PIRT_CAPT_02_15HNDL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_03_15HNDL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_03_15HNDL_HU01.SK_PIRT_CAPT_03_15HNDL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_04_15HNDL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_04_15HNDL_HU01.SK_PIRT_CAPT_04_15HNDL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_05_15HNDL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_05_15HNDL_HU01.SK_PIRT_CAPT_05_15HNDL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_06_15HNDL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_06_15HNDL_HU01.SK_PIRT_CAPT_06_15HNDL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_07_15HNDL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_07_15HNDL_HU01.SK_PIRT_CAPT_07_15HNDL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_08_15HNDL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_08_15HNDL_HU01.SK_PIRT_CAPT_08_15HNDL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_09_15HNDL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_09_15HNDL_HU01.SK_PIRT_CAPT_09_15HNDL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_10_15HNDL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_10_15HNDL_HU01.SK_PIRT_CAPT_10_15HNDL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
