---,SK_Mesh,Material
SK_GOBL_FIGT_01_18LEGL_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_01_18LEGL_GO01.SK_GOBL_FIGT_01_18LEGL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_02_18LEGL_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_02_18LEGL_GO01.SK_GOBL_FIGT_02_18LEGL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_03_18LEGL_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_03_18LEGL_GO01.SK_GOBL_FIGT_03_18LEGL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_04_18LEGL_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_04_18LEGL_GO01.SK_GOBL_FIGT_04_18LEGL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_05_18LEGL_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_05_18LEGL_GO01.SK_GOBL_FIGT_05_18LEGL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_06_18LEGL_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_06_18LEGL_GO01.SK_GOBL_FIGT_06_18LEGL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_07_18LEGL_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_07_18LEGL_GO01.SK_GOBL_FIGT_07_18LEGL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_08_18LEGL_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_08_18LEGL_GO01.SK_GOBL_FIGT_08_18LEGL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_09_18LEGL_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_09_18LEGL_GO01.SK_GOBL_FIGT_09_18LEGL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_10_18LEGL_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_10_18LEGL_GO01.SK_GOBL_FIGT_10_18LEGL_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
