---,SK_Mesh,Material
SK_PIRT_CAPT_01_18LEGL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_01_18LEGL_HU01.SK_PIRT_CAPT_01_18LEGL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_02_18LEGL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_02_18LEGL_HU01.SK_PIRT_CAPT_02_18LEGL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_03_18LEGL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_03_18LEGL_HU01.SK_PIRT_CAPT_03_18LEGL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_04_18LEGL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_04_18LEGL_HU01.SK_PIRT_CAPT_04_18LEGL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_05_18LEGL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_05_18LEGL_HU01.SK_PIRT_CAPT_05_18LEGL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_06_18LEGL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_06_18LEGL_HU01.SK_PIRT_CAPT_06_18LEGL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_07_18LEGL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_07_18LEGL_HU01.SK_PIRT_CAPT_07_18LEGL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_08_18LEGL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_08_18LEGL_HU01.SK_PIRT_CAPT_08_18LEGL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_09_18LEGL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_09_18LEGL_HU01.SK_PIRT_CAPT_09_18LEGL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_10_18LEGL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_10_18LEGL_HU01.SK_PIRT_CAPT_10_18LEGL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_11_18LEGL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_11_18LEGL_HU01.SK_PIRT_CAPT_11_18LEGL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_12_18LEGL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_12_18LEGL_HU01.SK_PIRT_CAPT_12_18LEGL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_13_18LEGL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_13_18LEGL_HU01.SK_PIRT_CAPT_13_18LEGL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_14_18LEGL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_14_18LEGL_HU01.SK_PIRT_CAPT_14_18LEGL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_15_18LEGL_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_15_18LEGL_HU01.SK_PIRT_CAPT_15_18LEGL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
