---,SK_Mesh,Material
SK_SCFI_SOLD_01_18LEGL_HU01,/Game/Sidekicks/Outfits/ScifiSoldiers/SK_SCFI_SOLD_01_18LEGL_HU01.SK_SCFI_SOLD_01_18LEGL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_SCFI_SOLD_02_18LEGL_HU01,/Game/Sidekicks/Outfits/ScifiSoldiers/SK_SCFI_SOLD_02_18LEGL_HU01.SK_SCFI_SOLD_02_18LEGL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_SCFI_SOLD_03_18LEGL_HU01,/Game/Sidekicks/Outfits/ScifiSoldiers/SK_SCFI_SOLD_03_18LEGL_HU01.SK_SCFI_SOLD_03_18LEGL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_SCFI_SOLD_04_18LEGL_HU01,/Game/Sidekicks/Outfits/ScifiSoldiers/SK_SCFI_SOLD_04_18LEGL_HU01.SK_SCFI_SOLD_04_18LEGL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_SCFI_SOLD_05_18LEGL_HU01,/Game/Sidekicks/Outfits/ScifiSoldiers/SK_SCFI_SOLD_05_18LEGL_HU01.SK_SCFI_SOLD_05_18LEGL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_SCFI_SOLD_06_18LEGL_HU01,/Game/Sidekicks/Outfits/ScifiSoldiers/SK_SCFI_SOLD_06_18LEGL_HU01.SK_SCFI_SOLD_06_18LEGL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_SCFI_SOLD_07_18LEGL_HU01,/Game/Sidekicks/Outfits/ScifiSoldiers/SK_SCFI_SOLD_07_18LEGL_HU01.SK_SCFI_SOLD_07_18LEGL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_SCFI_SOLD_08_18LEGL_HU01,/Game/Sidekicks/Outfits/ScifiSoldiers/SK_SCFI_SOLD_08_18LEGL_HU01.SK_SCFI_SOLD_08_18LEGL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_SCFI_SOLD_09_18LEGL_HU01,/Game/Sidekicks/Outfits/ScifiSoldiers/SK_SCFI_SOLD_09_18LEGL_HU01.SK_SCFI_SOLD_09_18LEGL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_SCFI_SOLD_10_18LEGL_HU01,/Game/Sidekicks/Outfits/ScifiSoldiers/SK_SCFI_SOLD_10_18LEGL_HU01.SK_SCFI_SOLD_10_18LEGL_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
