---,SK_Mesh,Material
SK_PIRT_CAPT_01_19LEGR_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_01_19LEGR_HU01.SK_PIRT_CAPT_01_19LEGR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_02_19LEGR_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_02_19LEGR_HU01.SK_PIRT_CAPT_02_19LEGR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_03_19LEGR_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_03_19LEGR_HU01.SK_PIRT_CAPT_03_19LEGR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_04_19LEGR_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_04_19LEGR_HU01.SK_PIRT_CAPT_04_19LEGR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_05_19LEGR_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_05_19LEGR_HU01.SK_PIRT_CAPT_05_19LEGR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_06_19LEGR_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_06_19LEGR_HU01.SK_PIRT_CAPT_06_19LEGR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_07_19LEGR_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_07_19LEGR_HU01.SK_PIRT_CAPT_07_19LEGR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_08_19LEGR_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_08_19LEGR_HU01.SK_PIRT_CAPT_08_19LEGR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_09_19LEGR_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_09_19LEGR_HU01.SK_PIRT_CAPT_09_19LEGR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_10_19LEGR_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_10_19LEGR_HU01.SK_PIRT_CAPT_10_19LEGR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_11_19LEGR_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_11_19LEGR_HU01.SK_PIRT_CAPT_11_19LEGR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_12_19LEGR_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_12_19LEGR_HU01.SK_PIRT_CAPT_12_19LEGR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_13_19LEGR_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_13_19LEGR_HU01.SK_PIRT_CAPT_13_19LEGR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_14_19LEGR_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_14_19LEGR_HU01.SK_PIRT_CAPT_14_19LEGR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_15_19LEGR_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_15_19LEGR_HU01.SK_PIRT_CAPT_15_19LEGR_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
