---,SK_Mesh,Material
SK_GOBL_BASE_01_35NOSE_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_01_35NOSE_GO01.SK_GOBL_BASE_01_35NOSE_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_02_35NOSE_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_02_35NOSE_GO01.SK_GOBL_BASE_02_35NOSE_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_03_35NOSE_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_03_35NOSE_GO01.SK_GOBL_BASE_03_35NOSE_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_04_35NOSE_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_04_35NOSE_GO01.SK_GOBL_BASE_04_35NOSE_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_05_35NOSE_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_05_35NOSE_GO01.SK_GOBL_BASE_05_35NOSE_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_06_35NOSE_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_06_35NOSE_GO01.SK_GOBL_BASE_06_35NOSE_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_07_35NOSE_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_07_35NOSE_GO01.SK_GOBL_BASE_07_35NOSE_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_08_35NOSE_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_08_35NOSE_GO01.SK_GOBL_BASE_08_35NOSE_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_09_35NOSE_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_09_35NOSE_GO01.SK_GOBL_BASE_09_35NOSE_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_10_35NOSE_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_10_35NOSE_GO01.SK_GOBL_BASE_10_35NOSE_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
