---,SK_Mesh,Material
SK_GOBL_FIGT_01_35NOSE_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_01_35NOSE_GO01.SK_GOBL_FIGT_01_35NOSE_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_02_35NOSE_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_02_35NOSE_GO01.SK_GOBL_FIGT_02_35NOSE_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_03_35NOSE_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_03_35NOSE_GO01.SK_GOBL_FIGT_03_35NOSE_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_04_35NOSE_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_04_35NOSE_GO01.SK_GOBL_FIGT_04_35NOSE_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_05_35NOSE_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_05_35NOSE_GO01.SK_GOBL_FIGT_05_35NOSE_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_06_35NOSE_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_06_35NOSE_GO01.SK_GOBL_FIGT_06_35NOSE_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_07_35NOSE_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_07_35NOSE_GO01.SK_GOBL_FIGT_07_35NOSE_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_08_35NOSE_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_08_35NOSE_GO01.SK_GOBL_FIGT_08_35NOSE_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_09_35NOSE_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_09_35NOSE_GO01.SK_GOBL_FIGT_09_35NOSE_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_10_35NOSE_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_10_35NOSE_GO01.SK_GOBL_FIGT_10_35NOSE_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
