---,SK_Mesh,Material
SK_HUMN_BASE_01_35NOSE_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_01_35NOSE_HU01.SK_HUMN_BASE_01_35NOSE_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_02_35NOSE_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_02_35NOSE_HU01.SK_HUMN_BASE_02_35NOSE_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_03_35NOSE_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_03_35NOSE_HU01.SK_HUMN_BASE_03_35NOSE_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_04_35NOSE_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_04_35NOSE_HU01.SK_HUMN_BASE_04_35NOSE_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_05_35NOSE_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_05_35NOSE_HU01.SK_HUMN_BASE_05_35NOSE_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_06_35NOSE_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_06_35NOSE_HU01.SK_HUMN_BASE_06_35NOSE_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_07_35NOSE_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_07_35NOSE_HU01.SK_HUMN_BASE_07_35NOSE_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_08_35NOSE_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_08_35NOSE_HU01.SK_HUMN_BASE_08_35NOSE_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_09_35NOSE_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_09_35NOSE_HU01.SK_HUMN_BASE_09_35NOSE_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_10_35NOSE_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_10_35NOSE_HU01.SK_HUMN_BASE_10_35NOSE_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_11_35NOSE_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_11_35NOSE_HU01.SK_HUMN_BASE_11_35NOSE_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
