---,SK_Mesh,Material
SK_PIRT_CAPT_01_35NOSE_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_01_35NOSE_HU01.SK_PIRT_CAPT_01_35NOSE_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_02_35NOSE_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_02_35NOSE_HU01.SK_PIRT_CAPT_02_35NOSE_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_03_35NOSE_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_03_35NOSE_HU01.SK_PIRT_CAPT_03_35NOSE_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_04_35NOSE_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_04_35NOSE_HU01.SK_PIRT_CAPT_04_35NOSE_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_05_35NOSE_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_05_35NOSE_HU01.SK_PIRT_CAPT_05_35NOSE_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_06_35NOSE_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_06_35NOSE_HU01.SK_PIRT_CAPT_06_35NOSE_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_07_35NOSE_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_07_35NOSE_HU01.SK_PIRT_CAPT_07_35NOSE_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_08_35NOSE_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_08_35NOSE_HU01.SK_PIRT_CAPT_08_35NOSE_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_09_35NOSE_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_09_35NOSE_HU01.SK_PIRT_CAPT_09_35NOSE_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_10_35NOSE_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_10_35NOSE_HU01.SK_PIRT_CAPT_10_35NOSE_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
